2026-03-21 19:44:18 | INFO | browser_agent.cli | OpenAI model=gpt-5.1-2025-11-13 base_url=https://ru-2.gateway.nekocode.app/alpha/v1
2026-03-21 19:44:18 | DEBUG | asyncio | Using selector: EpollSelector
2026-03-21 19:44:18 | INFO | browser_agent.browser | Launching persistent Chromium context at .browser_profile
2026-03-21 19:44:43 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-21 19:44:43 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"about:blank","title":"","viewport":{"w":1280,"h":800},"interactive":[],"visible_text":""}
2026-03-21 19:44:43 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-21 19:44:43 | DEBUG | httpcore.connection | connect_tcp.started host='ru-2.gateway.nekocode.app' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-21 19:44:43 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x720564742390>
2026-03-21 19:44:43 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x72056431e4d0> server_hostname='ru-2.gateway.nekocode.app' timeout=5.0
2026-03-21 19:44:43 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7205649725d0>
2026-03-21 19:44:43 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-21 19:44:43 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-21 19:44:43 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-21 19:44:43 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-21 19:44:43 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1961'), (b'Content-Type', b'application/json'), (b'Date', b'Sat, 21 Mar 2026 16:44:46 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'299'), (b'X-Request-Id', b'1594ed78-5735-40a6-9b8d-1e1f2000983a'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-21 19:44:46 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | response_closed.started
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-21 19:44:46 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-21 19:44:46 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-21 19:44:47 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1288'), (b'Content-Type', b'application/json'), (b'Date', b'Sat, 21 Mar 2026 16:44:47 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'298'), (b'X-Request-Id', b'8329d257-fcfb-416c-83d2-5d1f64d4b26e'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-21 19:44:47 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-21 19:44:47 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-21 19:44:47 | DEBUG | httpcore.http11 | receive_response_body.complete
