2026-03-22 14:02:30 | INFO | browser_agent.cli | OpenAI model=gpt-5.1-2025-11-13 base_url=https://ru-2.gateway.nekocode.app/alpha/v1
2026-03-22 14:02:30 | DEBUG | asyncio | Using selector: EpollSelector
2026-03-22 14:02:30 | INFO | browser_agent.browser | Launching persistent Chromium context at .browser_profile
2026-03-22 14:02:54 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-22 14:02:54 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"https://hh.ru/applicant/resumes?hhtmFrom=main&hhtmFromLabel=header","title":"8 ・ Мои резюме","viewport":{"w":1600,"h":1000},"interactive":[{"tag":"a","role":null,"type":null,"name":null,"id":null,"href":"/?hhtmFrom=resume_list","text":"","aria_label":null,"placeholder":null,"disabled":false,"bbox":{"x":16,"y":16,"w":40,"h":40}},{"tag":"a","role":"button","type":null,"name":null,"id":null,…
2026-03-22 14:02:54 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:02:54 | DEBUG | httpcore.connection | connect_tcp.started host='ru-2.gateway.nekocode.app' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-22 14:02:54 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7170c0a2bb00>
2026-03-22 14:02:54 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7170c151a4d0> server_hostname='ru-2.gateway.nekocode.app' timeout=5.0
2026-03-22 14:02:54 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7170c16ad1c0>
2026-03-22 14:02:54 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:02:54 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:02:54 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:02:54 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:02:54 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:02:58 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'299'), (b'X-Request-Id', b'8b8ce907-45e2-4b63-83aa-2775723c489e'), (b'X-Robots-Tag', b'noindex, nofollow'), (b'Transfer-Encoding', b'chunked')])
2026-03-22 14:02:58 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:02:58 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:02:58 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1460'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:03:01 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'298'), (b'X-Request-Id', b'd90b0725-d7fe-420e-b5f7-3b6d96950100'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-22 14:03:01 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:03:01 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:03:01 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1123'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:03:04 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'297'), (b'X-Request-Id', b'c7458658-17b6-4abd-9bbe-93c5ec553562'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-22 14:03:04 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:03:04 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=True
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:03:04 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
